,Experimental,Predicted
0,11.176453228349017,[11.17645323]
1,10.871071578797832,[10.80071625]
2,11.107460356862063,[11.89563861]
3,11.330603908176274,[11.33060391]
4,11.60723614444147,[12.12890134]
5,11.736069016284436,[11.73606902]
6,11.841429531942264,[11.91317283]
7,12.822258784953993,[12.48675261]
8,12.007221786785008,[11.77429023]
9,12.0405582070526,[12.11290332]
10,12.057652640411902,[12.05765264]
11,12.057652640411902,[12.04858659]
12,11.774290229104636,[11.77429023]
13,12.333906017040059,[12.29517302]
14,12.750799820971846,[12.53562703]
15,12.380426032674949,[12.53562703]
16,12.684108446473171,[12.454534]
17,12.07504438312377,[12.31744458]
18,12.621588089491839,[12.454534]
19,12.129111604394044,[12.31744458]
20,12.454534004828673,[12.454534]
21,12.404523584254012,[12.33898004]
22,12.684108446473171,[12.68410845]
23,12.822258784953993,[12.75229875]
24,12.822258784953993,[12.82225878]
25,12.822258784953993,[12.82225878]
26,12.859999112936835,[12.76262464]
27,12.859999112936835,[12.8163194]
28,12.785891140783114,[12.78589114]
29,12.822258784953993,[12.81553433]
30,12.859999112936835,[12.85999911]
31,12.940041820610373,[12.8163194]
32,12.859999112936835,[12.79462872]
33,12.859999112936835,[12.82225878]
34,12.716898269296165,[12.71689827]
35,12.940041820610373,[12.83035592]
36,12.147803737406196,[12.44897885]
37,12.859999112936835,[12.80146122]
38,12.98260143502917,[12.82225878]
39,12.859999112936835,[12.68410845]
40,13.122363377404328,[13.12236338]
41,13.073573213234894,[13.14778465]
42,13.17365667179188,[13.17365667]
43,13.815510557964275,[13.27483711]
44,13.17365667179188,[13.17365667]
45,13.073573213234894,[13.19949587]
46,13.073573213234894,[13.18557969]
47,13.122363377404328,[13.16339801]
48,13.073573213234894,[13.06559026]
49,13.17365667179188,[13.24197737]
50,13.227723893062155,[13.22772389]
51,13.122363377404328,[13.13362329]
52,13.17365667179188,[13.206097]
53,13.17365667179188,[13.17365667]
54,13.17365667179188,[13.17365667]
55,13.17365667179188,[13.16339801]
56,13.073573213234894,[13.07357321]
57,12.750799820971846,[12.75079982]
58,13.284882306902105,[13.28488231]
59,13.227723893062155,[13.20802672]
60,13.122363377404328,[13.12236338]
61,13.17365667179188,[13.17365667]
62,13.284882306902105,[13.28488231]
63,13.17365667179188,[13.17365667]
64,13.122363377404328,[13.12236338]
65,13.284882306902105,[13.2512805]
66,13.227723893062155,[13.22772389]
67,13.345506928718539,[13.28488231]
68,13.284882306902105,[13.28488231]
69,13.17365667179188,[13.17365667]
70,13.345506928718539,[13.27676683]
71,13.227723893062155,[13.07357321]
72,13.41004544985611,[13.23174787]
73,13.227723893062155,[13.1959018]
74,13.41004544985611,[13.1959018]
75,13.479038321343062,[13.47903832]
76,13.284882306902105,[13.28488231]
77,13.284882306902105,[13.35841463]
78,13.345506928718539,[13.34550693]
79,13.345506928718539,[13.37132234]
80,13.284882306902105,[13.35841463]
81,13.41004544985611,[13.35841463]
82,13.284882306902105,[13.32529872]
83,13.345506928718539,[13.34550693]
84,13.345506928718539,[13.34550693]
85,13.284882306902105,[13.333382]
86,13.41004544985611,[13.41004545]
87,13.41004544985611,[13.36254471]
88,13.345506928718539,[13.32529872]
89,13.345506928718539,[13.34550693]
90,13.41004544985611,[13.41004545]
91,13.41004544985611,[13.36254471]
92,13.345506928718539,[13.333382]
93,13.345506928718539,[13.34550693]
94,13.345506928718539,[13.34550693]
95,13.479038321343062,[13.38679456]
96,13.479038321343062,[13.39891949]
97,13.345506928718539,[13.34550693]
98,13.41004544985611,[13.34550693]
99,13.41004544985611,[13.38679456]
100,13.227723893062155,[13.30523128]
101,13.41004544985611,[13.4051376]
102,13.553146293496782,[13.34550693]
103,13.479038321343062,[13.37358114]
104,13.479038321343062,[13.41004545]
105,13.41004544985611,[13.34550693]
106,13.345506928718539,[13.34550693]
107,13.479038321343062,[13.41004545]
108,13.345506928718539,[13.34550693]
109,13.284882306902105,[13.28488231]
110,13.41004544985611,[13.34550693]
111,13.63318900117032,[13.41004545]
112,13.41004544985611,[13.34550693]
113,13.227723893062155,[13.30991494]
114,13.815510557964275,[13.41004545]
115,13.345506928718539,[13.34550693]
116,13.479038321343062,[13.34550693]
117,14.431696697388091,[13.13343949]
118,13.553146293496782,[11.82750192]
119,12.356895535264757,[12.20808937]
120,11.652187532303733,[11.65218753]
121,10.770988120240851,[10.70042482]
122,10.054310442270713,[10.05431044]
123,8.622553707074063,[8.62255371]
124,6.812445099177812,[6.8124451]
125,5.683979847360022,[5.68397985]
126,3.5065578973199822,[5.68397985]
127,9.115030192171858,[8.52667493]
128,9.826526511399999,[8.52667493]
129,9.790158867229128,[8.52667493]
130,6.437751649736401,[8.52667493]
131,9.55283068092296,[8.52667493]
132,10.519673691959945,[10.51967369]
133,10.596634733096073,[10.59663473]
134,8.07893826048508,[10.59663473]
135,10.770988120240851,[10.77098812]
136,10.483306047789071,[10.59663473]
137,10.982297213908057,[10.59663473]
138,11.417615285165903,[11.37829897]
139,11.974960924566787,[11.34323595]
140,11.417615285165903,[10.77098812]
141,12.129111604394044,[10.66243712]
142,8.468403027246806,[8.46840303]
143,9.538844438948221,[9.52040276]
144,9.737973114058557,[8.52667493]
145,9.965362956254216,[9.6687983]
146,8.947976107508694,[10.33508482]
147,9.790158867229128,[9.78099517]
148,10.596634733096073,[10.40940533]
149,10.031320924046012,[9.72439145]
150,10.054310442270713,[9.72439145]
151,10.925138800068108,[10.59663473]
152,10.637456727616328,[10.59663473]
153,10.231991619508165,[10.23199162]
154,11.042921835724492,[10.63955099]
155,10.596634733096073,[10.59663473]
156,10.637456727616328,[9.72439145]
157,11.512925464970227,[10.48816987]
158,11.330603908176274,[10.45326199]
159,8.947976107508694,[7.88954185]
160,8.947976107508694,[8.14344909]
161,9.396669950167675,[6.97230766]
162,8.377431249041079,[5.42527865]
163,8.016417903503749,[8.0164179]
164,6.907755278982138,[6.77969826]
165,6.165817934252759,[5.36897875]
166,7.799353398265921,[6.31996861]
167,7.0131157946399645,[5.920986]
168,7.5616817463888015,[5.63785057]
169,7.824046010856294,[7.82404601]
170,7.684284068481133,[7.7875817]
171,8.873868135354972,[8.41596466]
172,9.028018815182227,[8.27202442]
173,9.581404053367015,[7.88612359]
174,7.902007552326003,[5.4077359]
175,6.214608098422191,[6.2146081]
176,6.377127027919967,[6.31996861]
177,6.319968614080018,[6.31996861]
178,6.502290170873972,[5.36897875]
179,6.214608098422191,[5.36897875]
180,6.0322865416282365,[5.80914299]
181,5.809142990314027,[5.80914299]
182,6.571283042360923,[5.80914299]
183,6.265901392809743,[5.80914299]
184,5.914503505971854,[5.85213235]
185,6.377127027919967,[4.76161833]
186,6.377127027919967,[5.2951679]
187,7.849363818840582,[6.90775528]
188,6.571283042360923,[5.62964575]
189,6.214608098422191,[5.62964575]
190,6.725433722188183,[6.21718716]
191,5.572754212249796,[5.57275421]
192,6.571283042360923,[6.40551049]
193,6.725433722188183,[6.17187151]
194,6.074846156047032,[6.07484616]
195,6.214608098422191,[6.2146081]
196,7.1691200431165445,[7.16912004]
197,7.250245587928912,[7.25024559]
198,8.111728083308073,[7.23402048]
199,7.09408485717363,[6.26524007]
200,6.6453910145146455,[6.64539101]
201,6.377127027919967,[6.37712703]
202,7.684284068481133,[6.37712703]
203,5.599422459331958,[5.59942246]
204,5.914503505971854,[5.91450351]
205,6.571283042360923,[6.18303248]
206,5.952243833954701,[5.95224383]
207,5.654992310486769,[5.65499231]
208,8.145629634983754,[7.18260845]
209,8.740336742730447,[7.67782582]
210,8.145629634983754,[7.84628205]
211,7.875339305243843,[7.87533931]
212,7.641724454062338,[7.76434535]
213,8.254828926948747,[7.76434535]
214,7.9575774034808155,[7.76434535]
215,8.740336742730447,[7.51091028]
216,7.047017346315645,[7.04701735]
217,7.875339305243843,[7.87533931]
218,8.622553707074063,[7.52827207]
219,8.622553707074063,[7.8378903]
220,3.324236340526027,[3.68887945]
221,0.0,[5.04776477]
222,2.8302178350764176,[5.31520818]
223,1.8971199848858813,[3.03758668]
224,3.863232841258714,[3.03758668]
225,3.3524072174927237,[3.03758668]
226,3.816712825623821,[4.08078944]
227,4.017383521085971,[4.01738352]
228,3.6496587409606547,[4.81717354]
229,4.422848629194137,[5.03815125]
230,4.268697949366879,[4.26869795]
231,3.912023005428147,[3.91202301]
232,3.575550768806933,[3.91202301]
233,4.509860006183767,[4.43024287]
234,4.803621124711929,[4.50986001]
235,3.688879454113936,[3.68887945]
236,2.631089159966081,[4.44490114]
237,2.5010360317178844,[2.50103603]
238,1.469675970058942,[2.29768808]
239,1.6094379124341005,[2.11015184]
240,2.120263536200091,[2.7004861]
241,2.2072749131897207,[2.51266616]
242,0.9942522733438668,[0.99425227]
243,1.6094379124341005,[1.60943791]
244,0.28768207245178085,[0.28768207]
245,-0.8329091229351039,[-0.83290912]
246,-5.521460917862246,[-5.11313247]
247,-4.605170185988091,[-4.35963232]
248,0.3710636813908319,[0.37106368]
249,-0.3364722366212129,[-0.33647224]
250,-2.7080502011022096,[-2.7080502]
251,-2.8332133440562166,[-2.83321334]
252,-2.9957322735539913,[-2.99573227]
253,-5.799092654460527,[-5.79909265]
254,-4.941642422609305,[-4.94164242]
255,-3.3672958299864737,[-3.36729583]
256,-3.4011973816621555,[-0.25658266]
257,5.2785147392518565,[5.14226635]
258,11.543384672454936,[11.54338467]
259,8.016417903503749,[8.0164179]
260,-0.6931471805599453,[-0.69314718]
261,-0.6418538861723948,[-0.64185389]
262,-0.3364722366212129,[-0.33647224]
263,-0.2623642644674911,[-0.26236426]
264,-0.1823215567939546,[-0.18232156]
265,-0.0953101798043249,[-0.09531018]
266,0.0,[0.]
267,0.3710636813908319,[-0.22916023]
268,0.0,[0.]
269,0.4004775665971253,[0.34249031]
270,0.4780358009429996,[0.4780358]
271,0.3566749439387322,[0.17215228]
272,0.3566749439387322,[0.13402821]
273,0.342490308946776,[0.34249031]
274,0.5621189181535412,[0.72326121]
275,0.9416085398584448,[0.74272461]
276,1.1711829815029449,[0.78488067]
277,1.5141277326297755,[0.69486565]
278,1.2378743560016174,[0.94545177]
279,0.9675840262617056,[0.96758403]
280,0.3710636813908319,[0.43915624]
281,1.5606477482646683,[1.17817129]
282,2.2072749131897207,[1.54903295]
283,2.577021938695806,[2.11546422]
284,0.8209805520698301,[1.04982212]
285,1.5141277326297755,[1.51412773]
286,-8.006367567650246,[1.04982212]
287,1.0498221244986776,[1.04982212]
288,-2.4849066497880004,[-1.54253227]
289,0.9675840262617056,[0.96758403]
290,-1.4586150226995167,[-1.45861502]
291,-0.7884573603642702,[-0.78845736]
292,-1.4350845252893227,[-1.19791111]
293,-0.2623642644674911,[-0.49192405]
294,-0.9932517730102834,[-0.99325177]
295,-1.2237754316221157,[-1.22377543]
296,-1.4586150226995167,[-1.45861502]
297,-1.3350010667323402,[-1.36100977]
298,0.44628710262841936,[-2.75599793]
299,-0.916290731874155,[-2.66569009]
300,2.0402208285265546,[0.92151461]
301,1.6094379124341005,[0.17404215]
302,-3.332204510175204,[-2.19675339]
303,-3.610917912644224,[-2.49670287]
304,-1.4350845252893227,[-1.43508453]
305,-2.0668627594729756,[-2.06686276]
306,-2.302585092994045,[-2.30258509]
307,-2.2300144001592104,[-2.2300144]
308,-1.88706964903238,[-2.41962229]
309,-2.0149030205422647,[-2.2300144]
310,-0.8329091229351039,[-2.74109342]
311,-3.1780538303479458,[-2.76214367]
312,-2.772588722239781,[-2.43841454]
313,-1.589235205116581,[-2.48231193]
314,-2.5649493574615367,[-2.56494936]
315,-2.151762203259462,[-2.1517622]
316,-2.186051276738094,[-2.15273756]
317,-0.8329091229351039,[-0.83290912]
318,-3.610917912644224,[-2.98333678]
319,-5.1929568508902095,[-2.80719727]
320,-1.9021075263969205,[-2.24581021]
321,-5.135798437050261,[-5.13579844]
322,-5.886104031450156,[-4.94957727]
323,-8.294049640102028,[-7.71756892]
324,-9.116029692504943,[-7.71756892]
325,-6.363028103540465,[-6.3630281]
326,-5.828945617610208,[-5.82894562]
327,-6.802394763324312,[-6.91408262]
328,-5.828945617610208,[-7.47313799]
329,-7.600902459542082,[-7.60090246]
330,-11.066638362341811,[-8.93682355]
331,-1.0647107369924282,[-1.32455407]
332,-1.1939224684724346,[-1.77179694]
333,-9.740968623038354,[-9.74096862]
334,-11.502875129116726,[-11.50287513]
335,6.917805614835639,[6.91780561]
336,-3.4657359027997265,[5.44221778]
337,2.0402208285265546,[2.04022083]
338,2.312635428847547,[2.01515517]
339,2.3538783873815965,[2.35387839]
340,5.132802928070463,[2.69909993]
341,2.6882475738060303,[2.68824757]
342,3.772261063052988,[3.11791386]
