,Experimental,Predicted
0,11.176453228349017,[9.2956848]
1,10.871071578797832,[8.21648475]
2,11.107460356862063,[7.44298977]
3,11.330603908176274,[8.56921758]
4,11.60723614444147,[9.26347614]
5,11.736069016284436,[10.06931461]
6,11.841429531942264,[10.34928909]
7,12.822258784953993,[10.40346689]
8,12.007221786785008,[10.21561704]
9,12.0405582070526,[10.26360529]
10,12.057652640411902,[10.26360529]
11,12.057652640411902,[10.29214732]
12,11.774290229104636,[10.29214732]
13,12.333906017040059,[12.15921957]
14,12.750799820971846,[12.2150579]
15,12.380426032674949,[12.2150579]
16,12.684108446473171,[12.18198713]
17,12.07504438312377,[12.18198713]
18,12.621588089491839,[12.18198713]
19,12.129111604394044,[12.18198713]
20,12.454534004828673,[12.2150579]
21,12.404523584254012,[12.18198713]
22,12.684108446473171,[12.57904712]
23,12.822258784953993,[12.57904712]
24,12.822258784953993,[12.57904712]
25,12.822258784953993,[12.57904712]
26,12.859999112936835,[12.57904712]
27,12.859999112936835,[12.57904712]
28,12.785891140783114,[12.57904712]
29,12.822258784953993,[12.57904712]
30,12.859999112936835,[12.57904712]
31,12.940041820610373,[12.57904712]
32,12.859999112936835,[12.57904712]
33,12.859999112936835,[12.57904712]
34,12.716898269296165,[12.57904712]
35,12.940041820610373,[12.57904712]
36,12.147803737406196,[12.57904712]
37,12.859999112936835,[12.57904712]
38,12.98260143502917,[12.57904712]
39,12.859999112936835,[12.51089894]
40,13.122363377404328,[12.84060791]
41,13.073573213234894,[12.84060791]
42,13.17365667179188,[12.84060791]
43,13.815510557964275,[12.84060791]
44,13.17365667179188,[12.80154772]
45,13.073573213234894,[12.80603439]
46,13.073573213234894,[12.80154772]
47,13.122363377404328,[12.80154772]
48,13.073573213234894,[12.80154772]
49,13.17365667179188,[12.80603439]
50,13.227723893062155,[12.80154772]
51,13.122363377404328,[12.80154772]
52,13.17365667179188,[12.80603439]
53,13.17365667179188,[12.84060791]
54,13.17365667179188,[12.84060791]
55,13.17365667179188,[12.80154772]
56,13.073573213234894,[12.80154772]
57,12.750799820971846,[12.80154772]
58,13.284882306902105,[12.80154772]
59,13.227723893062155,[12.80154772]
60,13.122363377404328,[12.80154772]
61,13.17365667179188,[12.80154772]
62,13.284882306902105,[12.80154772]
63,13.17365667179188,[12.80154772]
64,13.122363377404328,[12.80154772]
65,13.284882306902105,[12.80603439]
66,13.227723893062155,[12.80154772]
67,13.345506928718539,[12.76911211]
68,13.284882306902105,[12.79981153]
69,13.17365667179188,[12.76911211]
70,13.345506928718539,[12.79981153]
71,13.227723893062155,[12.80154772]
72,13.41004544985611,[12.80154772]
73,13.227723893062155,[12.80154772]
74,13.41004544985611,[12.80603439]
75,13.479038321343062,[12.91022036]
76,13.284882306902105,[12.88073498]
77,13.284882306902105,[12.88073498]
78,13.345506928718539,[12.88073498]
79,13.345506928718539,[12.88073498]
80,13.284882306902105,[12.91513312]
81,13.41004544985611,[12.91513312]
82,13.284882306902105,[12.91513312]
83,13.345506928718539,[12.91513312]
84,13.345506928718539,[12.91513312]
85,13.284882306902105,[12.91513312]
86,13.41004544985611,[12.91513312]
87,13.41004544985611,[12.91513312]
88,13.345506928718539,[12.91513312]
89,13.345506928718539,[12.91513312]
90,13.41004544985611,[12.91513312]
91,13.41004544985611,[12.91513312]
92,13.345506928718539,[12.88073498]
93,13.345506928718539,[12.88073498]
94,13.345506928718539,[12.88127346]
95,13.479038321343062,[12.91513312]
96,13.479038321343062,[12.91513312]
97,13.345506928718539,[12.91513312]
98,13.41004544985611,[12.88127346]
99,13.41004544985611,[12.91513312]
100,13.227723893062155,[12.91513312]
101,13.41004544985611,[12.88127346]
102,13.553146293496782,[12.88127346]
103,13.479038321343062,[12.88127346]
104,13.479038321343062,[12.91513312]
105,13.41004544985611,[12.91513312]
106,13.345506928718539,[12.91513312]
107,13.479038321343062,[12.91513312]
