,Experimental,Predicted
0,11.176453228349017,[11.31637706]
1,10.871071578797832,[11.56640979]
2,11.107460356862063,[12.32848724]
3,11.330603908176274,[11.71027738]
4,11.60723614444147,[11.99711237]
5,11.736069016284436,[11.99477023]
6,11.841429531942264,[12.12359891]
7,12.822258784953993,[12.31890198]
8,12.007221786785008,[12.05676631]
9,12.0405582070526,[12.1545927]
10,12.057652640411902,[12.11932856]
11,12.057652640411902,[12.22323663]
12,11.774290229104636,[12.16581467]
13,12.333906017040059,[12.47623027]
14,12.750799820971846,[12.53536562]
15,12.380426032674949,[12.53536562]
16,12.684108446473171,[12.63507268]
17,12.07504438312377,[12.51227935]
18,12.621588089491839,[12.55920193]
19,12.129111604394044,[12.54772938]
20,12.454534004828673,[12.50784396]
21,12.404523584254012,[12.54772938]
22,12.684108446473171,[12.76699865]
23,12.822258784953993,[12.82225878]
24,12.822258784953993,[12.82225878]
25,12.822258784953993,[12.82225878]
26,12.859999112936835,[12.85045906]
27,12.859999112936835,[12.85748309]
28,12.785891140783114,[12.85748309]
29,12.822258784953993,[12.84238696]
30,12.859999112936835,[12.84517752]
31,12.940041820610373,[12.85748309]
32,12.859999112936835,[12.83735492]
33,12.859999112936835,[12.86800338]
34,12.716898269296165,[12.81843029]
35,12.940041820610373,[12.90162132]
36,12.147803737406196,[12.83137894]
37,12.859999112936835,[12.85748309]
38,12.98260143502917,[12.86816606]
39,12.859999112936835,[12.88484952]
40,13.122363377404328,[13.13262204]
41,13.073573213234894,[13.17365667]
42,13.17365667179188,[13.17365667]
43,13.815510557964275,[13.26687308]
44,13.17365667179188,[13.12336463]
45,13.073573213234894,[13.13273584]
46,13.073573213234894,[13.12336463]
47,13.122363377404328,[13.12336463]
48,13.073573213234894,[13.19937209]
49,13.17365667179188,[13.14315809]
50,13.227723893062155,[13.12920248]
51,13.122363377404328,[13.12920248]
52,13.17365667179188,[13.17365667]
53,13.17365667179188,[13.24460729]
54,13.17365667179188,[13.23784206]
55,13.17365667179188,[13.19442271]
56,13.073573213234894,[13.13273584]
57,12.750799820971846,[13.00957494]
58,13.284882306902105,[13.23647845]
59,13.227723893062155,[13.17677823]
60,13.122363377404328,[13.13462384]
61,13.17365667179188,[13.1821179]
62,13.284882306902105,[13.24941235]
63,13.17365667179188,[13.15001183]
64,13.122363377404328,[13.12920248]
65,13.284882306902105,[13.19015845]
66,13.227723893062155,[13.17287154]
67,13.345506928718539,[13.24627941]
68,13.284882306902105,[13.27866401]
69,13.17365667179188,[13.19590834]
70,13.345506928718539,[13.29395185]
71,13.227723893062155,[13.24941235]
72,13.41004544985611,[13.23650464]
73,13.227723893062155,[13.20041711]
74,13.41004544985611,[13.23297701]
75,13.479038321343062,[13.32731954]
76,13.284882306902105,[13.30104887]
77,13.284882306902105,[13.32731954]
78,13.345506928718539,[13.32731954]
79,13.345506928718539,[13.33136118]
80,13.284882306902105,[13.34844099]
81,13.41004544985611,[13.34550693]
82,13.284882306902105,[13.34550693]
83,13.345506928718539,[13.34550693]
84,13.345506928718539,[13.34550693]
85,13.284882306902105,[13.33641324]
86,13.41004544985611,[13.36976497]
87,13.41004544985611,[13.34550693]
88,13.345506928718539,[13.34550693]
89,13.345506928718539,[13.34550693]
90,13.41004544985611,[13.39328061]
91,13.41004544985611,[13.35841463]
92,13.345506928718539,[13.33713717]
93,13.345506928718539,[13.333382]
94,13.345506928718539,[13.37866706]
95,13.479038321343062,[13.43853347]
96,13.479038321343062,[13.39713775]
97,13.345506928718539,[13.33765473]
98,13.41004544985611,[13.40084805]
99,13.41004544985611,[13.39802862]
100,13.227723893062155,[13.31409812]
101,13.41004544985611,[13.37866706]
102,13.553146293496782,[13.41004545]
103,13.479038321343062,[13.41004545]
104,13.479038321343062,[13.44498732]
105,13.41004544985611,[13.3615643]
106,13.345506928718539,[13.34550693]
107,13.479038321343062,[13.44454189]
108,13.345506928718539,[13.3615643]
109,13.284882306902105,[13.31208178]
110,13.41004544985611,[13.37132234]
111,13.63318900117032,[13.0598351]
112,13.41004544985611,[13.41227263]
113,13.227723893062155,[13.0598351]
114,13.815510557964275,[13.14092812]
115,13.345506928718539,[13.40084805]
116,13.479038321343062,[13.39891949]
117,14.431696697388091,[12.89871462]
118,13.553146293496782,[12.39182259]
119,12.356895535264757,[11.47594765]
120,11.652187532303733,[11.07589445]
121,10.770988120240851,[10.43474537]
122,10.054310442270713,[9.95075882]
123,8.622553707074063,[8.87994773]
124,6.812445099177812,[6.58675205]
125,5.683979847360022,[6.09849932]
126,3.5065578973199822,[5.69988156]
127,9.115030192171858,[9.11503019]
128,9.826526511399999,[9.68422725]
129,9.790158867229128,[9.81137333]
130,6.437751649736401,[8.402547]
131,9.55283068092296,[9.33831389]
132,10.519673691959945,[9.74349226]
133,10.596634733096073,[9.98539031]
134,8.07893826048508,[9.98539031]
135,10.770988120240851,[10.33457894]
136,10.483306047789071,[10.59036233]
137,10.982297213908057,[10.59036233]
138,11.417615285165903,[10.4397464]
139,11.974960924566787,[10.7771978]
140,11.417615285165903,[10.17846304]
141,12.129111604394044,[9.02995454]
142,8.468403027246806,[8.34361382]
143,9.538844438948221,[8.42492278]
144,9.737973114058557,[9.5816406]
145,9.965362956254216,[10.12011921]
146,8.947976107508694,[10.3900679]
147,9.790158867229128,[10.05758204]
148,10.596634733096073,[10.45434543]
149,10.031320924046012,[10.1912772]
150,10.054310442270713,[10.1912772]
151,10.925138800068108,[10.49318848]
152,10.637456727616328,[10.54593705]
153,10.231991619508165,[10.3515235]
