,Experimental,Predicted
0,11.176453228349017,[11.17645323]
1,10.871071578797832,[11.5968157]
2,11.107460356862063,[12.16393656]
3,11.330603908176274,[11.74371326]
4,11.60723614444147,[11.77429023]
5,11.736069016284436,[11.77429023]
6,11.841429531942264,[11.96321112]
7,12.822258784953993,[12.44761084]
8,12.007221786785008,[12.05765264]
9,12.0405582070526,[12.05765264]
10,12.057652640411902,[12.05765264]
11,12.057652640411902,[12.05765264]
12,11.774290229104636,[12.05765264]
13,12.333906017040059,[12.33390602]
14,12.750799820971846,[12.52410128]
15,12.380426032674949,[12.52410128]
16,12.684108446473171,[12.454534]
17,12.07504438312377,[12.454534]
18,12.621588089491839,[12.454534]
19,12.129111604394044,[12.454534]
20,12.454534004828673,[12.52410128]
21,12.404523584254012,[12.41728478]
22,12.684108446473171,[12.77205378]
23,12.822258784953993,[12.85999911]
24,12.822258784953993,[12.85999911]
25,12.822258784953993,[12.85999911]
26,12.859999112936835,[12.85999911]
27,12.859999112936835,[12.82225878]
28,12.785891140783114,[12.82225878]
29,12.822258784953993,[12.82225878]
30,12.859999112936835,[12.85999911]
31,12.940041820610373,[12.82225878]
32,12.859999112936835,[12.85999911]
33,12.859999112936835,[12.82563928]
34,12.716898269296165,[12.82563928]
35,12.940041820610373,[12.82563928]
36,12.147803737406196,[12.82225878]
37,12.859999112936835,[12.82225878]
38,12.98260143502917,[12.85999911]
39,12.859999112936835,[12.77205378]
40,13.122363377404328,[13.14801002]
41,13.073573213234894,[13.17365667]
42,13.17365667179188,[13.17365667]
43,13.815510557964275,[13.17365667]
44,13.17365667179188,[13.14574674]
45,13.073573213234894,[13.28488231]
46,13.073573213234894,[13.14574674]
47,13.122363377404328,[13.14574674]
48,13.073573213234894,[13.14574674]
49,13.17365667179188,[13.28488231]
50,13.227723893062155,[13.14574674]
51,13.122363377404328,[13.14574674]
52,13.17365667179188,[13.28488231]
53,13.17365667179188,[13.17365667]
54,13.17365667179188,[13.17365667]
55,13.17365667179188,[13.14801002]
56,13.073573213234894,[13.14801002]
57,12.750799820971846,[13.14801002]
58,13.284882306902105,[13.14801002]
59,13.227723893062155,[13.17365667]
60,13.122363377404328,[13.17365667]
61,13.17365667179188,[13.14801002]
62,13.284882306902105,[13.14801002]
63,13.17365667179188,[13.14574674]
64,13.122363377404328,[13.14574674]
65,13.284882306902105,[13.28488231]
66,13.227723893062155,[13.14574674]
67,13.345506928718539,[13.2680153]
68,13.284882306902105,[13.2680153]
69,13.17365667179188,[13.2680153]
70,13.345506928718539,[13.2680153]
71,13.227723893062155,[13.14801002]
72,13.41004544985611,[13.14801002]
73,13.227723893062155,[13.17365667]
74,13.41004544985611,[13.28488231]
75,13.479038321343062,[13.34550693]
76,13.284882306902105,[13.32818561]
77,13.284882306902105,[13.32818561]
78,13.345506928718539,[13.32818561]
79,13.345506928718539,[13.32818561]
80,13.284882306902105,[13.41004545]
81,13.41004544985611,[13.37777619]
82,13.284882306902105,[13.37777619]
83,13.345506928718539,[13.37777619]
84,13.345506928718539,[13.37777619]
85,13.284882306902105,[13.37777619]
86,13.41004544985611,[13.41004545]
87,13.41004544985611,[13.37777619]
88,13.345506928718539,[13.37777619]
89,13.345506928718539,[13.37777619]
90,13.41004544985611,[13.41004545]
91,13.41004544985611,[13.37777619]
92,13.345506928718539,[13.32818561]
93,13.345506928718539,[13.32818561]
94,13.345506928718539,[13.38853261]
95,13.479038321343062,[13.39713775]
96,13.479038321343062,[13.39713775]
97,13.345506928718539,[13.39713775]
98,13.41004544985611,[13.38853261]
99,13.41004544985611,[13.39713775]
100,13.227723893062155,[13.39713775]
101,13.41004544985611,[13.38853261]
102,13.553146293496782,[13.38853261]
103,13.479038321343062,[13.38853261]
104,13.479038321343062,[13.39713775]
105,13.41004544985611,[13.37777619]
106,13.345506928718539,[13.37777619]
107,13.479038321343062,[13.41004545]
108,13.345506928718539,[13.37777619]
109,13.284882306902105,[13.32818561]
110,13.41004544985611,[13.37777619]
111,13.63318900117032,[13.45144117]
112,13.41004544985611,[13.41004545]
113,13.227723893062155,[13.45144117]
114,13.815510557964275,[13.45144117]
115,13.345506928718539,[13.38853261]
116,13.479038321343062,[13.37777619]
117,14.431696697388091,[13.11868483]
118,13.553146293496782,[12.35689554]
119,12.356895535264757,[12.35689554]
120,11.652187532303733,[11.65218753]
121,10.770988120240851,[10.77098812]
122,10.054310442270713,[10.05431044]
123,8.622553707074063,[8.62255371]
124,6.812445099177812,[6.8124451]
125,5.683979847360022,[5.68397985]
126,3.5065578973199822,[5.68397985]
127,9.115030192171858,[9.11503019]
128,9.826526511399999,[9.79015887]
129,9.790158867229128,[9.79015887]
130,6.437751649736401,[6.43775165]
131,9.55283068092296,[9.55283068]
132,10.519673691959945,[10.51967369]
133,10.596634733096073,[10.59663473]
134,8.07893826048508,[10.59663473]
135,10.770988120240851,[10.77098812]
136,10.483306047789071,[10.78270075]
137,10.982297213908057,[10.78270075]
138,11.417615285165903,[10.78270075]
139,11.974960924566787,[11.27250926]
140,11.417615285165903,[10.77098812]
141,12.129111604394044,[10.56350692]
142,8.468403027246806,[8.46840303]
143,9.538844438948221,[9.53884444]
144,9.737973114058557,[9.73797311]
145,9.965362956254216,[9.96536296]
146,8.947976107508694,[10.59663473]
147,9.790158867229128,[9.79015887]
148,10.596634733096073,[10.59663473]
149,10.031320924046012,[10.05431044]
150,10.054310442270713,[10.05431044]
151,10.925138800068108,[10.83268599]
152,10.637456727616328,[10.73726358]
153,10.231991619508165,[10.48816987]
154,11.042921835724492,[10.73726358]
155,10.596634733096073,[10.59663473]
156,10.637456727616328,[11.04292184]
157,11.512925464970227,[11.04292184]
158,11.330603908176274,[11.0130172]
159,8.947976107508694,[8.30070271]
160,8.947976107508694,[8.35968953]
161,9.396669950167675,[7.82404601]
162,8.377431249041079,[8.1905623]
163,8.016417903503749,[8.0164179]
164,6.907755278982138,[6.8268992]
165,6.165817934252759,[5.75804771]
166,7.799353398265921,[6.15778257]
167,7.0131157946399645,[6.39919537]
168,7.5616817463888015,[7.83168863]
169,7.824046010856294,[7.82404601]
170,7.684284068481133,[8.04226025]
171,8.873868135354972,[8.62538852]
172,9.028018815182227,[9.02801882]
173,9.581404053367015,[9.18044683]
174,7.902007552326003,[5.00362051]
175,6.214608098422191,[6.2146081]
176,6.377127027919967,[6.31996861]
177,6.319968614080018,[6.31996861]
178,6.502290170873972,[5.84435659]
179,6.214608098422191,[5.84435659]
180,6.0322865416282365,[6.19021302]
181,5.809142990314027,[6.19021302]
182,6.571283042360923,[6.19021302]
183,6.265901392809743,[6.19021302]
184,5.914503505971854,[5.91450351]
185,6.377127027919967,[5.91450351]
186,6.377127027919967,[5.91450351]
187,7.849363818840582,[7.21901344]
188,6.571283042360923,[6.14008584]
189,6.214608098422191,[6.14008584]
190,6.725433722188183,[7.16912004]
191,5.572754212249796,[7.16912004]
192,6.571283042360923,[6.57128304]
193,6.725433722188183,[6.43992714]
194,6.074846156047032,[6.14472713]
195,6.214608098422191,[6.14472713]
196,7.1691200431165445,[7.25024559]
197,7.250245587928912,[7.25024559]
198,8.111728083308073,[7.25024559]
199,7.09408485717363,[7.16912004]
200,6.6453910145146455,[7.16912004]
201,6.377127027919967,[6.64634001]
202,7.684284068481133,[7.29731851]
203,5.599422459331958,[6.62799116]
204,5.914503505971854,[5.69898713]
205,6.571283042360923,[5.75035587]
206,5.952243833954701,[5.77389292]
207,5.654992310486769,[5.77389292]
208,8.145629634983754,[8.74033674]
209,8.740336742730447,[8.74033674]
210,8.145629634983754,[8.01048447]
211,7.875339305243843,[8.01048447]
212,7.641724454062338,[7.94827669]
213,8.254828926948747,[7.94827669]
214,7.9575774034808155,[7.94827669]
215,8.740336742730447,[8.74033674]
216,7.047017346315645,[7.41330121]
217,7.875339305243843,[7.87533931]
218,8.622553707074063,[8.23022201]
219,8.622553707074063,[8.30744643]
220,3.324236340526027,[3.32423634]
221,0.0,[4.39680752]
222,2.8302178350764176,[5.16052809]
223,1.8971199848858813,[2.88017641]
224,3.863232841258714,[2.88017641]
225,3.3524072174927237,[2.88017641]
226,3.816712825623821,[3.91704817]
227,4.017383521085971,[3.91704817]
228,3.6496587409606547,[4.09036048]
229,4.422848629194137,[4.09036048]
230,4.268697949366879,[4.35258001]
231,3.912023005428147,[4.35258001]
232,3.575550768806933,[4.35258001]
233,4.509860006183767,[4.35258001]
234,4.803621124711929,[4.35258001]
235,3.688879454113936,[3.53812946]
236,2.631089159966081,[2.96520977]
237,2.5010360317178844,[1.27354128]
238,1.469675970058942,[1.60943791]
239,1.6094379124341005,[1.60943791]
240,2.120263536200091,[2.12026354]
241,2.2072749131897207,[2.20727491]
242,0.9942522733438668,[0.99425227]
243,1.6094379124341005,[1.60943791]
244,0.28768207245178085,[0.31547594]
245,-0.8329091229351039,[-2.70627581]
246,-5.521460917862246,[-2.70627581]
247,-4.605170185988091,[-2.70627581]
248,0.3710636813908319,[0.31547594]
249,-0.3364722366212129,[-2.70627581]
250,-2.7080502011022096,[-3.58402212]
251,-2.8332133440562166,[-3.58402212]
252,-2.9957322735539913,[-3.58402212]
253,-5.799092654460527,[-3.58402212]
254,-4.941642422609305,[-3.41682313]
255,-3.3672958299864737,[-3.36729583]
256,-3.4011973816621555,[-3.36729583]
257,5.2785147392518565,[5.50502464]
258,11.543384672454936,[11.54338467]
259,8.016417903503749,[8.0164179]
260,-0.6931471805599453,[-0.69314718]
261,-0.6418538861723948,[-0.29200745]
262,-0.3364722366212129,[0.]
263,-0.2623642644674911,[-0.26236426]
264,-0.1823215567939546,[-0.09531018]
265,-0.0953101798043249,[-0.09531018]
266,0.0,[-0.09531018]
267,0.3710636813908319,[0.37106368]
268,0.0,[0.34249031]
269,0.4004775665971253,[0.38703361]
270,0.4780358009429996,[0.38703361]
271,0.3566749439387322,[0.34596433]
272,0.3566749439387322,[0.34596433]
273,0.342490308946776,[0.34249031]
274,0.5621189181535412,[0.83260801]
275,0.9416085398584448,[0.8453118]
276,1.1711829815029449,[0.8453118]
277,1.5141277326297755,[0.88527551]
278,1.2378743560016174,[0.88527551]
279,0.9675840262617056,[0.96758403]
280,0.3710636813908319,[0.37106368]
281,1.5606477482646683,[1.25344698]
282,2.2072749131897207,[1.69463864]
283,2.577021938695806,[2.57702194]
284,0.8209805520698301,[1.51412773]
285,1.5141277326297755,[1.51412773]
286,-8.006367567650246,[1.14268325]
287,1.0498221244986776,[1.04982212]
288,-2.4849066497880004,[-2.48490665]
289,0.9675840262617056,[0.96758403]
290,-1.4586150226995167,[-0.53600143]
291,-0.7884573603642702,[-0.78845736]
292,-1.4350845252893227,[-0.75738955]
293,-0.2623642644674911,[-0.26236426]
294,-0.9932517730102834,[-0.26236426]
295,-1.2237754316221157,[-1.22377543]
296,-1.4586150226995167,[-1.45861502]
297,-1.3350010667323402,[-1.33500107]
298,0.44628710262841936,[0.61506001]
299,-0.916290731874155,[-1.5843245]
300,2.0402208285265546,[1.75048186]
301,1.6094379124341005,[1.60943791]
