0,SMILES,Kh_mean,Kh_first,Varying_1,Varying_2,Varying_3,Varying_4,Varying_5,Varying_6,Varying_7,Varying_8,Varying_9
methane,C,11.208749153067762,11.176453228349015,0,0,0,0,0,0,0,0,0
ethane,CC,10.895309791444902,10.871071578797833,0,0,0,0,0,0,0,0,0
propane,CCC,11.151949926778693,11.107460356862063,0,0,0,0,0,0,0,0,0
butane,CCCC,11.380747575137468,11.330603908176274,0,0,0,0,0,0,0,0,0
2-methylpropane,CC(C)C,11.304096851561392,11.60723614444147,1,1,0,0,0,0,0,0,0
pentane,CCCCC,11.694281769464391,11.736069016284437,0,0,0,0,0,0,0,0,0
2-methylbutane,CCC(C)C,11.841429531942264,11.841429531942264,0,0,0,0,0,0,0,0,0
dimethylpropane,CC(C)(C)C,12.24579517774387,12.822258784953991,0,0,0,0,0,0,0,0,0
hexane,CCCCCC,11.62649497882176,12.007221786785008,1,1,1,0,0,0,0,0,0
2-methylpentane,CCCC(C)C,11.839281264148083,12.0405582070526,0,0,0,0,0,0,0,0,0
3-methylpentane,CCC(C)CC,11.849205738446006,12.0576526404119,0,0,0,0,0,0,0,0,0
"2,2-dimethylbutane",CCC(C)(C)C,12.000680510737292,12.0576526404119,0,0,0,0,0,0,0,0,0
"2,3-dimethylbutane",CC(C)C(C)C,11.780826269888312,11.774290229104636,0,0,0,0,0,0,0,0,0
heptane,CCCCCCC,12.196315557839881,12.333906017040059,1,0,0,0,0,0,0,0,0
2-methylhexane,CCCCC(C)C,12.124223740247174,12.750799820971846,1,0,0,0,0,0,0,0,0
3-methylhexane,CCCC(C)CC,12.516392890416771,12.38042603267495,0,0,0,0,0,0,0,0,0
"2,2-dimethylpentane",CCCC(C)(C)C,12.684108446473173,12.684108446473173,0,0,0,0,0,0,0,0,0
"2,3-dimethylpentane",CCC(C)C(C)C,12.07504438312377,12.07504438312377,0,0,0,0,0,0,0,0,0
"2,4-dimethylpentane",CC(C)CC(C)C,12.621588089491839,12.621588089491839,0,0,0,0,0,0,0,0,0
"3,3-dimethylpentane",CCC(C)(C)CC,12.138457670900122,12.129111604394046,0,0,0,0,0,0,0,0,0
3-ethylpentane,CCC(CC)CC,12.454534004828673,12.454534004828673,0,0,0,0,0,0,0,0,0
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,12.404523584254012,12.404523584254012,0,0,0,0,0,0,0,0,0
octane,CCCCCCCC,12.485882146589683,12.684108446473173,1,1,0,0,0,0,0,0,0
2-methylheptane,CCCCCC(C)C,12.822258784953991,12.822258784953991,0,0,0,0,0,0,0,0,0
3-methylheptane,CCCCC(C)CC,12.822258784953991,12.822258784953991,0,0,0,0,0,0,0,0,0
4-methylheptane,CCCC(C)CCC,12.822258784953991,12.822258784953991,0,0,0,0,0,0,0,0,0
"2,2-dimethylhexane",CCCCC(C)(C)C,12.805399466954341,12.859999112936837,0,0,0,0,0,0,0,0,0
"2,3-dimethylhexane",CCCC(C)C(C)C,12.859999112936837,12.859999112936837,0,0,0,0,0,0,0,0,0
"2,4-dimethylhexane",CCC(C)CC(C)C,12.785891140783116,12.785891140783116,0,0,0,0,0,0,0,0,0
"2,5-dimethylhexane",CC(C)CCC(C)C,12.786529302962919,12.822258784953991,0,0,0,0,0,0,0,0,0
"3,3-dimethylhexane",CCCC(C)(C)CC,12.859999112936837,12.859999112936837,0,0,0,0,0,0,0,0,0
"3,4-dimethylhexane",CCC(C)C(C)CC,12.940041820610373,12.940041820610373,0,0,0,0,0,0,0,0,0
3-ethylhexane,CCCC(CC)CC,12.859999112936837,12.859999112936837,0,0,0,0,0,0,0,0,0
"2,2,3-trimethylpentane",CCC(C)C(C)(C)C,12.859999112936837,12.859999112936837,0,0,0,0,0,0,0,0,0
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,12.585717448245745,12.716898269296165,0,0,0,0,0,0,0,0,0
