Species,Num,min,max,mean,median,max-min
oxygen,14,11.250561200502737,11.330603908176274,11.267713209289925,11.250561200502737,0.08004270767353638
ozone,12,8.947976107508692,13.815510557964274,9.508257821119676,9.115030192171858,4.867534450455581
hydrogen atom,2,12.859999112936837,12.859999112936837,12.859999112936837,12.859999112936837,0.0
hydrogen,7,11.748647798491298,11.774290229104636,11.768783681183317,11.774290229104636,0.025642430613338263
deuterium,1,11.748647798491298,11.748647798491298,11.748647798491298,11.748647798491298,0.0
hydroxyl radical,6,-4.48863636973214,1.3862943611198906,-0.07900446258814871,0.9675840262617057,5.87493073085203
hydroperoxy radical,3,-4.04305126783455,-1.916922612182061,-2.625632164066224,-1.916922612182061,2.126128655652489
hydrogen peroxide,12,-7.24422751560335,-6.507277712385012,-6.7720598579149565,-6.7333310251375025,0.7369498032183381
nitrogen,11,11.928440908931893,12.129111604394046,11.967654293867094,11.959212567598648,0.20067069546215244
ammonia,16,0.2613647641344075,2.302585092994046,0.7135125036396549,0.536179958762022,2.0412203288596382
hydrazoic acid,4,2.120263536200091,2.322787800311565,2.2189875753898236,2.216449482523819,0.20252426411147395
hydrazine,0,0.0,0.0,0.0,0.0,0.0
dinitrogen monoxide,12,8.294049640102028,8.622553707074063,8.348639642029868,8.334871634622283,0.3285040669720356
nitrogen monoxide,14,10.680016342035124,11.250561200502737,10.884531177722277,10.871071578797833,0.5705448584676134
nitrogen dioxide,10,7.824046010856292,9.581404053367015,8.924782733782783,9.028018815182229,1.757358042510723
nitrogen trioxide,4,4.017383521085972,7.875339305243843,6.22521626491103,6.504071116657153,3.8579557841578707
dinitrogen trioxide,2,1.3862943611198906,5.132802928070463,3.259548644595177,3.259548644595177,3.746508566950572
dinitrogen tetroxide,5,3.473768074496991,4.3428059215206005,4.026492301510994,4.135166556742356,0.8690378470236095
dinitrogen pentoxide,0,0.0,0.0,0.0,0.0,0.0
hydroxylamine,0,0.0,0.0,0.0,0.0,0.0
nitrous acid,6,0.7339691750802005,0.9942522733438668,0.7843674945234222,0.7444958796791167,0.26028309826366625
nitric acid,4,-8.131530710604252,-7.649692623711514,-7.7701521454346985,-7.649692623711514,0.4818380868927381
pernitric acid,4,-5.298317366548036,0.9416085398584448,-3.240478223857136,-4.3026020343694755,6.239925906406481
fluorine atom,0,0.0,0.0,0.0,0.0,0.0
hydrogen fluoride,1,-4.867534450455582,-4.867534450455582,-4.867534450455582,-4.867534450455582,0.0
difluorine monoxide,1,10.4482147279778,10.4482147279778,10.4482147279778,10.4482147279778,0.0
nitrogen trifluoride,3,11.711376403694066,11.748647798491298,11.736224000225555,11.748647798491298,0.03727139479723185
dinitrogen tetrafluoride,2,11.687278852115007,11.687278852115007,11.687278852115007,11.687278852115007,0.0
chlorine (molecular),9,3.270169119255751,7.402051600796917,6.648508495573385,6.991136887921188,4.131882481541166
chlorine atom,2,3.7722610630529876,3.7722610630529876,3.7722610630529876,3.7722610630529876,0.0
hydrogen chloride,4,-3.2188758248682006,1.6607312068216509,-0.6641892266786649,-0.5493061443340549,4.879607031689852
hypochlorous acid,6,-2.2082744135228043,-1.547562508716013,-1.8605004870286077,-1.8718021769015913,0.6607119048067913
perchloric acid,0,0.0,0.0,0.0,0.0,0.0
monochlorine monoxide,2,4.961845129926823,4.961845129926823,4.961845129926823,4.961845129926823,0.0
dichlorine monoxide,4,1.7719568419318752,1.7719568419318752,1.7719568419318752,1.7719568419318752,0.0
chlorine dioxide,5,4.605170185988092,4.615220521841593,4.607180253158792,4.605170185988092,0.010050335853501124
